1,0
28.16,-89.22
36.0,-121.233
36.683,-121.767
36.682,-121.762
30.433,-86.717
42.608,-82.835
33.667,-117.733
34.3,-116.167
34.3,-116.167
33.7,-117.833
36.533,-115.567
36.533,-115.567
32.433,-99.85
32.433,-99.85
35.25,-76.167
35.9,-76.0
35.983,-76.5
48.35,-122.667
47.217,-124.2
36.1,-75.75
45.65,-84.467
26.067,-97.167
27.833,-97.067
28.433,-96.433
32.833,-114.4
48.983,-122.733
45.667,-121.533
35.167,-94.2
30.417,-86.667
33.067,-115.017
32.167,-110.883
35.283,-116.35
30.967,-83.2
47.133,-122.483
32.067,-106.15
32.5,-114.15
34.683,-86.683
39.467,-76.167
41.05,-113.067
32.732,-113.633
33.267,-115.417
31.483,-85.783
34.6,-117.383
29.967,-81.983
30.433,-86.7
38.1,-77.267
39.417,-118.7
35.14,-78.95
35.717,-120.767
35.333,-117.1
36.583,-115.667
39.05,-85.617
35.283,-116.35
32.033,-81.667
30.417,-86.667
30.417,-86.667
58.667,-156.65
35.283,-116.35
64.717,-156.917
61.133,-146.367
41.05,-113.067
35.266,-116.367
31.0,-112.0
32.549,-114.5
32.5,-114.15
35.283,-116.617
34.3,-116.15
34.683,-77.033
40.5,-103.833
41.367,-103.483
40.633,-103.833
32.167,-110.883
38.55,-89.85
21.317,-157.933
32.167,-110.883
32.5,-93.667
33.967,-80.467
32.65,-114.617
60.785,-148.839
60.783,-148.833
66.6,-159.986
66.617,-160.0
71.283,-156.782
71.317,-155.217
71.333,-156.633
71.317,-156.617
71.333,-156.65
70.639,-159.995
70.617,-159.85
70.617,-159.85
70.917,-153.25
70.917,-153.25
70.5,-149.883
70.5,-149.883
52.22,-174.206
52.22,-174.206
65.983,-161.133
65.983,-161.15
70.331,-149.598
70.317,-149.583
68.479,-149.49
68.483,-149.483
70.25,-148.333
70.192,-148.477
54.85,-163.417
69.15,-148.817
70.134,-143.577
70.133,-143.633
70.133,-143.583
70.133,-143.583
70.233,-146.5
69.717,-148.683
68.183,-149.417
68.067,-149.583
68.867,-166.133
68.883,-166.133
68.35,-166.8
68.35,-166.8
68.35,-166.8
68.031,-162.903
68.067,-162.833
65.567,-144.765
20.783,-156.95
19.733,-156.05
65.617,-168.05
65.617,-168.05
65.563,-167.921
65.567,-167.917
65.25,-166.867
66.25,-166.05
66.25,-166.083
66.983,-160.433
69.717,-163.0
69.817,-162.917
