stationId,usaf,wban,stationName,country,fipsCountry,state,callSign,lat,lon,elevation,begin,end
723924-99999,723924,99999,"VENTURA HARBOR",US,US,CA,KP43,34.25,-119.25,7.0,19770827,19960701
723925-23190,723925,23190,"SANTA BARBARA MUNI",US,US,CA,KSBA,34.426,-119.843,6.1,19730101,20140313
723926-99999,723926,99999,"CAMARILLO",US,US,CA,KCMA,34.217,-119.1,23.0,19730101,20041231
723927-93110,723927,93110,"OXNARD",US,US,CA,KOXR,34.201,-119.207,20.7,19440401,20140313
723927-99999,723927,99999,"OXNARD",US,US,CA,KOXR,34.201,-119.207,14.0,20000101,20031231
723928-99999,723928,99999,"SANTA PAULA ARPT",US,US,CA,KSZP,34.35,-119.083,78.9,19841106,19841106
723929-99999,723929,99999,"OXNARD/CHANNEL ISL",US,US,CA,KL79,34.167,-119.217,2.0,19760130,19960701
723930-93214,723930,93214,"VANDENBERG AFB",US,US,CA,KVBG,34.717,-120.567,111.9,20060101,20140313
723930-99999,723930,99999,"VANDENBERG AFB",US,US,CA,KVBG,34.75,-120.567,121.0,19510703,20051231
723935-99999,723935,99999,"VANDENBERG RANGE",US,US,CA,KXVW,34.717,-120.567,100.0,19950505,20020308
723940-23273,723940,23273,"SANTA MARIA PUBLIC",US,US,CA,KSMX,34.899,-120.449,72.5,19730101,20140313
723960-99999,723960,99999,"",US,US,,,,,None,19730101,19760210
723961-99999,723961,99999,"PT.PIEDRAS BLANCA",US,US,CA,,35.667,-121.283,10.0,19760730,19770728
723965-93209,723965,93209,"PASO ROBLES MUNI",US,US,CA,KPRB,35.67,-120.628,249.0,19411201,20140313
723980-99999,723980,99999,"SALISBURY OCEAN CITY",US,US,MD,KSBY,38.333,-75.5,20.0,,
723990-14711,723990,14711,"Harrisburg Intl",US,US,PA,KMDT,40.183,-76.75,96.0,20100801,20140313
723990-99999,723990,99999,"HARRISBURG INTL",US,US,PA,KMDT,40.183,-76.75,96.0,,
724006-03701,724006,03701,"CHESAPEAKE RGNL",US,US,VA,KCPK,36.666,-76.321,6.1,20060101,20140313
724006-99999,724006,99999,"CHESAPEAKE RGNL",US,US,VA,KCPK,36.667,-76.317,6.0,20010811,20051231
724007-03719,724007,03719,"SUFFOLK EXECUTIVE",US,US,VA,KSFQ,36.682,-76.602,21.9,20050101,20140313
724007-99999,724007,99999,"SUFFOLK EXECUTIVE",US,US,VA,KSFQ,36.683,-76.6,22.0,19990114,20041231
724008-93781,724008,93781,"HALIFAX CO",US,US,NC,KRZZ,36.439,-77.71,77.7,20060101,20090625
724008-99999,724008,99999,"HALIFAX CO",US,US,NC,KRZZ,36.433,-77.717,78.0,19990114,20051231
724009-99999,724009,99999,"VOLENS",US,US,VA,KVQN,36.95,-78.983,185.0,,
724010-13740,724010,13740,"RICHMOND/BYRD FIELD",US,US,VA,KRIC,37.505,-77.32,49.7,19300101,20140313
724014-93714,724014,93714,"DINWIDDIE CO",US,US,VA,KPTB,37.183,-77.5,290.5,20060101,20140313
724014-99999,724014,99999,"DINWIDDIE CO",US,US,VA,KPTB,37.183,-77.5,59.0,19920807,20051231
724015-13726,724015,13726,"FT PICKETT/BLACKSTO",US,US,VA,KBKT,37.083,-77.95,134.0,19430601,19430701
724015-99999,724015,99999,"FT PICKETT/BLACKSTO",US,US,VA,KBKT,37.083,-77.95,134.0,20030922,20030922
724016-93736,724016,93736,"CHARLOTTESVILLE ALB",US,US,VA,KCHO,38.139,-78.453,196.3,19730101,20140313
724016-99999,724016,99999,"CHARLOTTESVILLE ALB",US,US,VA,KCHO,38.133,-78.45,195.0,20000101,20031231
724017-03707,724017,03707,"FARMVILLE RGNL",US,US,VA,KFVX,37.358,-78.438,127.1,20060101,20140313
724017-99999,724017,99999,"FARMVILLE RGNL",US,US,VA,KFVX,37.35,-78.433,127.0,19940718,20051231
724018-99999,724018,99999,"ROANOKE (NEXRAD)",US,US,VA,KFCX,37.017,-80.267,904.0,,
724019-93773,724019,93773,"WAKEFIELD MUNI",US,US,VA,KAKQ,36.984,-77.007,32.9,20060101,20140313
724019-99999,724019,99999,"WAKEFIELD MUNI",US,US,VA,KAKQ,36.983,-77.0,34.0,19971210,20040121
